city	month	avg_max_temperature	avg_min_temperature	avg_precipitation	histroy_max_temperature	histroy_min_temperature
阿拉善右旗	1月	-1℃	-15℃	1mm	13℃(1969)	13℃(1969)
阿拉善右旗	2月	2℃	-11℃	1mm	17℃(1976)	17℃(1976)
阿拉善右旗	3月	9℃	-4℃	2mm	25℃(2003)	25℃(2003)
阿拉善右旗	4月	17℃	4℃	4mm	33℃(2004)	33℃(2004)
阿拉善右旗	5月	24℃	10℃	10mm	35℃(1969)	35℃(1969)
阿拉善右旗	6月	29℃	15℃	17mm	37℃(1998)	37℃(1998)
阿拉善右旗	7月	30℃	18℃	29mm	42℃(1997)	42℃(1997)
阿拉善右旗	8月	29℃	16℃	26mm	38℃(1972)	38℃(1972)
阿拉善右旗	9月	23℃	11℃	19mm	35℃(1998)	35℃(1998)
阿拉善右旗	10月	16℃	3℃	6mm	26℃(1977)	26℃(1977)
阿拉善右旗	11月	7℃	-6℃	2mm	22℃(1972)	22℃(1972)
阿拉善右旗	12月	0℃	-13℃	1mm	15℃(1989)	15℃(1989)
阿拉善左旗	1月	-3℃	-14℃	2mm	13℃(1979)	13℃(1979)
阿拉善左旗	2月	1℃	-10℃	3mm	20℃(2004)	20℃(2004)
阿拉善左旗	3月	8℃	-3℃	6mm	25℃(2003)	25℃(2003)
阿拉善左旗	4月	16℃	4℃	12mm	31℃(1994)	31℃(1994)
阿拉善左旗	5月	22℃	10℃	21mm	33℃(1981)	33℃(1981)
阿拉善左旗	6月	27℃	15℃	24mm	35℃(2006)	35℃(2006)
阿拉善左旗	7月	29℃	17℃	44mm	37℃(2000)	37℃(2000)
阿拉善左旗	8月	27℃	16℃	53mm	37℃(1972)	37℃(1972)
阿拉善左旗	9月	21℃	11℃	29mm	34℃(1998)	34℃(1998)
阿拉善左旗	10月	15℃	3℃	13mm	27℃(1987)	27℃(1987)
阿拉善左旗	11月	6℃	-5℃	4mm	19℃(1979)	19℃(1979)
阿拉善左旗	12月	-1℃	-12℃	2mm	14℃(1998)	14℃(1998)
阿勒泰	1月	-10℃	-22℃	14mm	5℃(2002)	5℃(2002)
阿勒泰	2月	-7℃	-20℃	11mm	7℃(2002)	7℃(2002)
阿勒泰	3月	1℃	-11℃	9mm	23℃(1989)	23℃(1989)
阿勒泰	4月	14℃	2℃	14mm	31℃(1972)	31℃(1972)
阿勒泰	5月	22℃	9℃	17mm	34℃(2008)	34℃(2008)
阿勒泰	6月	27℃	13℃	17mm	36℃(1992)	36℃(1992)
阿勒泰	7月	28℃	15℃	25mm	38℃(1992)	38℃(1992)
阿勒泰	8月	27℃	13℃	18mm	38℃(1962)	38℃(1962)
阿勒泰	9月	21℃	8℃	15mm	35℃(1959)	35℃(1959)
阿勒泰	10月	12℃	1℃	15mm	28℃(1959)	28℃(1959)
阿勒泰	11月	1℃	-9℃	21mm	18℃(2006)	18℃(2006)
阿勒泰	12月	-8℃	-19℃	19mm	7℃(1994)	7℃(1994)
安达	1月	-13℃	-25℃	2mm	2℃(1983)	2℃(1983)
安达	2月	-7℃	-21℃	2mm	11℃(1960)	11℃(1960)
安达	3月	2℃	-11℃	6mm	22℃(2002)	22℃(2002)
安达	4月	13℃	0℃	16mm	31℃(2008)	31℃(2008)
安达	5月	21℃	8℃	30mm	36℃(1976)	36℃(1976)
安达	6月	26℃	14℃	70mm	39℃(2001)	39℃(2001)
安达	7月	28℃	18℃	138mm	38℃(1952)	38℃(1952)
安达	8月	27℃	16℃	96mm	37℃(1982)	37℃(1982)
安达	9月	21℃	9℃	48mm	33℃(2001)	33℃(2001)
安达	10月	12℃	0℃	15mm	27℃(2006)	27℃(2006)
安达	11月	-1℃	-11℃	4mm	17℃(2006)	17℃(2006)
安达	12月	-10℃	-21℃	3mm	7℃(1958)	7℃(1958)
安多	1月	-6℃	-22℃	3mm	7℃(2007)	7℃(2007)
安多	2月	-4℃	-19℃	3mm	7℃(1985)	7℃(1985)
安多	3月	1℃	-15℃	2mm	14℃(1999)	14℃(1999)
安多	4月	5℃	-9℃	8mm	14℃(1999)	14℃(1999)
安多	5月	9℃	-4℃	27mm	20℃(1979)	20℃(1979)
安多	6月	13℃	1℃	85mm	24℃(1995)	24℃(1995)
安多	7月	14℃	3℃	118mm	22℃(1972)	22℃(1972)
安多	8月	13℃	3℃	108mm	20℃(1982)	20℃(1982)
安多	9月	11℃	0℃	70mm	18℃(1981)	18℃(1981)
安多	10月	5℃	-7℃	17mm	15℃(2007)	15℃(2007)
安多	11月	-1℃	-16℃	3mm	10℃(1981)	10℃(1981)
安多	12月	-4℃	-21℃	2mm	10℃(1987)	10℃(1987)
安化	1月	9℃	2℃	71mm	24℃(2002)	24℃(2002)
安化	2月	10℃	3℃	92mm	30℃(2003)	30℃(2003)
安化	3月	15℃	7℃	139mm	33℃(2007)	33℃(2007)
安化	4月	22℃	12℃	216mm	37℃(2004)	37℃(2004)
安化	5月	26℃	17℃	252mm	37℃(1958)	37℃(1958)
安化	6月	30℃	21℃	257mm	41℃(1961)	41℃(1961)
安化	7月	34℃	24℃	188mm	42℃(1961)	42℃(1961)
安化	8月	33℃	23℃	176mm	41℃(1963)	41℃(1963)
安化	9月	28℃	19℃	89mm	39℃(1963)	39℃(1963)
安化	10月	23℃	14℃	107mm	36℃(1992)	36℃(1992)
安化	11月	17℃	8℃	81mm	32℃(1979)	32℃(1979)
安化	12月	12℃	4℃	51mm	25℃(1990)	25℃(1990)
安康	1月	8℃	0℃	5mm	18℃(1999)	18℃(1999)
安康	2月	11℃	2℃	11mm	23℃(1999)	23℃(1999)
安康	3月	16℃	6℃	32mm	32℃(2003)	32℃(2003)
安康	4月	22℃	11℃	63mm	35℃(2004)	35℃(2004)
安康	5月	27℃	16℃	87mm	39℃(1953)	39℃(1953)
安康	6月	31℃	20℃	106mm	40℃(2006)	40℃(2006)
安康	7月	33℃	23℃	142mm	42℃(1966)	42℃(1966)
安康	8月	32℃	23℃	122mm	41℃(1967)	41℃(1967)
安康	9月	26℃	18℃	125mm	41℃(1999)	41℃(1999)
安康	10月	21℃	13℃	78mm	34℃(1959)	34℃(1959)
安康	11月	15℃	7℃	29mm	26℃(1979)	26℃(1979)
安康	12月	9℃	2℃	7mm	18℃(1955)	18℃(1955)
安庆	1月	7℃	1℃	50mm	23℃(1972)	23℃(1972)
安庆	2月	9℃	3℃	71mm	26℃(1998)	26℃(1998)
安庆	3月	14℃	7℃	122mm	32℃(2007)	32℃(2007)
安庆	4月	21℃	13℃	163mm	34℃(1953)	34℃(1953)
安庆	5月	26℃	18℃	192mm	36℃(1951)	36℃(1951)
安庆	6月	29℃	22℃	259mm	38℃(1981)	38℃(1981)
安庆	7月	33℃	26℃	184mm	40℃(1988)	40℃(1988)
安庆	8月	33℃	25℃	128mm	41℃(2003)	41℃(2003)
安庆	9月	28℃	21℃	76mm	38℃(1995)	38℃(1995)
安庆	10月	23℃	15℃	63mm	34℃(1951)	34℃(1951)
安庆	11月	16℃	9℃	59mm	30℃(1979)	30℃(1979)
安庆	12月	10℃	3℃	35mm	25℃(1968)	25℃(1968)
安顺	1月	8℃	2℃	20mm	24℃(1951)	24℃(1951)
安顺	2月	10℃	3℃	23mm	28℃(1952)	28℃(1952)
安顺	3月	15℃	7℃	31mm	32℃(1998)	32℃(1998)
安顺	4月	20℃	12℃	81mm	33℃(1958)	33℃(1958)
安顺	5月	23℃	15℃	210mm	33℃(1988)	33℃(1988)
安顺	6月	24℃	18℃	274mm	33℃(1951)	33℃(1951)
安顺	7月	26℃	19℃	242mm	33℃(1952)	33℃(1952)
安顺	8月	26℃	19℃	181mm	34℃(1953)	34℃(1953)
安顺	9月	23℃	16℃	112mm	32℃(1990)	32℃(1990)
安顺	10月	19℃	12℃	98mm	29℃(1951)	29℃(1951)
安顺	11月	14℃	8℃	42mm	28℃(1952)	28℃(1952)
安顺	12月	10℃	4℃	21mm	28℃(1951)	28℃(1951)
安阳	1月	4℃	-6℃	5mm	21℃(1979)	21℃(1979)
安阳	2月	8℃	-3℃	8mm	27℃(1993)	27℃(1993)
安阳	3月	14℃	2℃	16mm	31℃(1963)	31℃(1963)
安阳	4月	21℃	9℃	26mm	37℃(1993)	37℃(1993)
安阳	5月	27℃	15℃	41mm	40℃(1967)	40℃(1967)
安阳	6月	32℃	20℃	61mm	42℃(1955)	42℃(1955)
安阳	7月	32℃	23℃	172mm	42℃(2002)	42℃(2002)
安阳	8月	30℃	21℃	136mm	40℃(1979)	40℃(1979)
安阳	9月	27℃	16℃	54mm	39℃(1987)	39℃(1987)
安阳	10月	21℃	9℃	33mm	35℃(1980)	35℃(1980)
安阳	11月	13℃	2℃	18mm	28℃(2006)	28℃(2006)
安阳	12月	6℃	-4℃	6mm	26℃(1989)	26℃(1989)
鞍山	1月	-4℃	-14℃	8mm	9℃(1967)	9℃(1967)
鞍山	2月	0℃	-10℃	8mm	18℃(1992)	18℃(1992)
鞍山	3月	7℃	-3℃	16mm	21℃(1994)	21℃(1994)
鞍山	4月	17℃	6℃	36mm	30℃(1972)	30℃(1972)
鞍山	5月	24℃	13℃	57mm	35℃(1958)	35℃(1958)
鞍山	6月	27℃	18℃	84mm	37℃(1962)	37℃(1962)
鞍山	7月	29℃	21℃	178mm	37℃(1952)	37℃(1952)
鞍山	8月	29℃	20℃	172mm	37℃(1956)	37℃(1956)
鞍山	9月	24℃	14℃	78mm	33℃(1999)	33℃(1999)
鞍山	10月	17℃	6℃	44mm	29℃(1978)	29℃(1978)
鞍山	11月	7℃	-3℃	21mm	23℃(1971)	23℃(1971)
鞍山	12月	-1℃	-10℃	10mm	16℃(1968)	16℃(1968)
澳门	1月	18℃	13℃	22mm	--	--
澳门	2月	18℃	14℃	38mm	--	--
澳门	3月	21℃	17℃	63mm	--	--
澳门	4月	25℃	21℃	119mm	--	--
澳门	5月	28℃	24℃	181mm	--	--
澳门	6月	30℃	26℃	245mm	--	--
澳门	7月	32℃	26℃	223mm	--	--
澳门	8月	31℃	26℃	249mm	--	--
澳门	9月	30℃	25℃	154mm	--	--
澳门	10月	28℃	23℃	45mm	--	--
澳门	11月	24℃	18℃	22mm	--	--
澳门	12月	20℃	14℃	28mm	--	--
巴楚	1月	0℃	-13℃	1mm	18℃(2000)	18℃(2000)
巴楚	2月	6℃	-7℃	1mm	21℃(1973)	21℃(1973)
巴楚	3月	15℃	2℃	2mm	30℃(2007)	30℃(2007)
巴楚	4月	24℃	9℃	3mm	35℃(1988)	35℃(1988)
巴楚	5月	28℃	14℃	7mm	38℃(1956)	38℃(1956)
巴楚	6月	32℃	17℃	11mm	40℃(1966)	40℃(1966)
巴楚	7月	34℃	20℃	13mm	43℃(1958)	43℃(1958)
巴楚	8月	32℃	19℃	10mm	43℃(1983)	43℃(1983)
巴楚	9月	28℃	13℃	4mm	36℃(1998)	36℃(1998)
巴楚	10月	21℃	5℃	3mm	30℃(1987)	30℃(1987)
巴楚	11月	11℃	-3℃	0mm	24℃(2000)	24℃(2000)
巴楚	12月	2℃	-10℃	1mm	16℃(1988)	16℃(1988)
巴里坤	1月	-9℃	-24℃	4mm	7℃(1976)	7℃(1976)
巴里坤	2月	-5℃	-21℃	3mm	11℃(1992)	11℃(1992)
巴里坤	3月	3℃	-11℃	7mm	19℃(2001)	19℃(2001)
巴里坤	4月	13℃	-2℃	17mm	27℃(2006)	27℃(2006)
巴里坤	5月	19℃	4℃	21mm	30℃(1970)	30℃(1970)
巴里坤	6月	24℃	9℃	36mm	33℃(2001)	33℃(2001)
巴里坤	7月	25℃	11℃	47mm	35℃(2000)	35℃(2000)
巴里坤	8月	24℃	9℃	34mm	35℃(2006)	35℃(2006)
巴里坤	9月	19℃	3℃	24mm	30℃(1998)	30℃(1998)
巴里坤	10月	11℃	-4℃	14mm	25℃(1985)	25℃(1985)
巴里坤	11月	1℃	-13℃	6mm	16℃(1998)	16℃(1998)
巴里坤	12月	-7℃	-21℃	5mm	14℃(1989)	14℃(1989)
巴林左旗	1月	-6℃	-19℃	1mm	12℃(1979)	12℃(1979)
巴林左旗	2月	-3℃	-17℃	2mm	19℃(1992)	19℃(1992)
巴林左旗	3月	5℃	-10℃	4mm	29℃(2002)	29℃(2002)
巴林左旗	4月	15℃	-1℃	9mm	33℃(1996)	33℃(1996)
巴林左旗	5月	23℃	7℃	24mm	39℃(2001)	39℃(2001)
巴林左旗	6月	27℃	13℃	75mm	40℃(2007)	40℃(2007)
巴林左旗	7月	28℃	17℃	133mm	40℃(1972)	40℃(1972)
巴林左旗	8月	27℃	14℃	84mm	39℃(2008)	39℃(2008)
巴林左旗	9月	22℃	7℃	31mm	36℃(2005)	36℃(2005)
巴林左旗	10月	14℃	-1℃	13mm	31℃(2006)	31℃(2006)
巴林左旗	11月	3℃	-10℃	4mm	23℃(2003)	23℃(2003)
巴林左旗	12月	-4℃	-17℃	1mm	14℃(1968)	14℃(1968)
巴仑台	1月	-1℃	-14℃	1mm	10℃(2007)	10℃(2007)
巴仑台	2月	2℃	-11℃	1mm	13℃(1979)	13℃(1979)
巴仑台	3月	9℃	-4℃	2mm	21℃(1971)	21℃(1971)
巴仑台	4月	16℃	3℃	7mm	30℃(2006)	30℃(2006)
巴仑台	5月	21℃	8℃	23mm	31℃(1986)	31℃(1986)
巴仑台	6月	25℃	11℃	46mm	34℃(1966)	34℃(1966)
巴仑台	7月	26℃	13℃	58mm	35℃(1974)	35℃(1974)
巴仑台	8月	26℃	11℃	45mm	34℃(1975)	34℃(1975)
巴仑台	9月	21℃	7℃	24mm	30℃(1997)	30℃(1997)
巴仑台	10月	15℃	1℃	4mm	25℃(1959)	25℃(1959)
巴仑台	11月	7℃	-6℃	1mm	18℃(1979)	18℃(1979)
巴仑台	12月	0℃	-11℃	0mm	11℃(1989)	11℃(1989)
巴塘	1月	14℃	-4℃	0mm	26℃(1999)	26℃(1999)
巴塘	2月	16℃	-1℃	1mm	27℃(1972)	27℃(1972)
巴塘	3月	19℃	3℃	6mm	31℃(1953)	31℃(1953)
巴塘	4月	22℃	6℃	15mm	32℃(1966)	32℃(1966)
巴塘	5月	26℃	10℃	34mm	35℃(1954)	35℃(1954)
巴塘	6月	28℃	13℃	88mm	36℃(1987)	36℃(1987)
巴塘	7月	28℃	14℃	129mm	38℃(2006)	38℃(2006)
巴塘	8月	27℃	13℃	108mm	36℃(1976)	36℃(1976)
巴塘	9月	25℃	11℃	82mm	36℃(2006)	36℃(2006)
巴塘	10月	23℃	6℃	23mm	31℃(1981)	31℃(1981)
巴塘	11月	18℃	0℃	3mm	27℃(1995)	27℃(1995)
巴塘	12月	14℃	-4℃	1mm	24℃(1959)	24℃(1959)
巴彦淖尔	1月	-3℃	-17℃	0mm	--	--
巴彦淖尔	2月	1℃	-13℃	1mm	--	--
巴彦淖尔	3月	8℃	-6℃	2mm	--	--
巴彦淖尔	4月	16℃	2℃	3mm	--	--
巴彦淖尔	5月	23℃	9℃	7mm	--	--
巴彦淖尔	6月	28℃	15℃	13mm	--	--
巴彦淖尔	7月	30℃	18℃	19mm	--	--
巴彦淖尔	8月	28℃	16℃	21mm	--	--
巴彦淖尔	9月	23℃	10℃	11mm	--	--
巴彦淖尔	10月	15℃	1℃	3mm	--	--
巴彦淖尔	11月	6℃	-8℃	1mm	--	--
巴彦淖尔	12月	-1℃	-15℃	0mm	--	--
巴音布鲁克	1月	-20℃	-32℃	3mm	-1℃(1983)	-1℃(1983)
巴音布鲁克	2月	-15℃	-28℃	3mm	2℃(1973)	2℃(1973)
巴音布鲁克	3月	-4℃	-17℃	4mm	14℃(2003)	14℃(2003)
巴音布鲁克	4月	8℃	-6℃	10mm	22℃(1997)	22℃(1997)
巴音布鲁克	5月	13℃	-1℃	27mm	25℃(1982)	25℃(1982)
巴音布鲁克	6月	16℃	2℃	60mm	26℃(1966)	26℃(1966)
巴音布鲁克	7月	18℃	4℃	68mm	28℃(2006)	28℃(2006)
巴音布鲁克	8月	18℃	3℃	56mm	28℃(1990)	28℃(1990)
巴音布鲁克	9月	14℃	-2℃	26mm	24℃(1997)	24℃(1997)
巴音布鲁克	10月	7℃	-9℃	5mm	19℃(2002)	19℃(2002)
巴音布鲁克	11月	-4℃	-17℃	4mm	12℃(2006)	12℃(2006)
巴音布鲁克	12月	-15℃	-26℃	4mm	2℃(1971)	2℃(1971)
巴中	1月	10℃	3℃	11mm	19℃(2007)	19℃(2007)
巴中	2月	12℃	5℃	14mm	23℃(2007)	23℃(2007)
巴中	3月	17℃	9℃	35mm	31℃(1973)	31℃(1973)
巴中	4月	23℃	13℃	75mm	34℃(1998)	34℃(1998)
巴中	5月	27℃	18℃	116mm	38℃(1988)	38℃(1988)
巴中	6月	30℃	21℃	146mm	38℃(1966)	38℃(1966)
巴中	7月	32℃	23℃	222mm	40℃(1959)	40℃(1959)
巴中	8月	32℃	23℃	171mm	41℃(2006)	41℃(2006)
巴中	9月	27℃	19℃	186mm	39℃(1967)	39℃(1967)
巴中	10月	21℃	15℃	95mm	33℃(1999)	33℃(1999)
巴中	11月	16℃	10℃	39mm	28℃(1979)	28℃(1979)
巴中	12月	11℃	5℃	14mm	20℃(1968)	20℃(1968)
白城	1月	-9℃	-23℃	1mm	6℃(1974)	6℃(1974)
白城	2月	-4℃	-19℃	1mm	16℃(1966)	16℃(1966)
白城	3月	4℃	-10℃	5mm	27℃(2002)	27℃(2002)
白城	4月	15℃	0℃	14mm	34℃(1961)	34℃(1961)
白城	5月	23℃	8℃	25mm	40℃(2001)	40℃(2001)
白城	6月	27℃	15℃	75mm	41℃(2007)	41℃(2007)
白城	7月	29℃	18℃	131mm	39℃(1955)	39℃(1955)
白城	8月	27℃	16℃	85mm	38℃(1955)	38℃(1955)
白城	9月	22℃	8℃	37mm	33℃(2001)	33℃(2001)
白城	10月	13℃	0℃	15mm	30℃(1987)	30℃(1987)
白城	11月	1℃	-11℃	3mm	19℃(2005)	19℃(2005)
白城	12月	-7℃	-19℃	2mm	9℃(1955)	9℃(1955)
白银	1月	2℃	-9℃	1mm	--	--
白银	2月	6℃	-5℃	2mm	--	--
白银	3月	12℃	1℃	6mm	--	--
白银	4月	19℃	7℃	12mm	--	--
白银	5月	24℃	11℃	27mm	--	--
白银	6月	27℃	15℃	34mm	--	--
白银	7月	29℃	17℃	49mm	--	--
白银	8月	28℃	16℃	50mm	--	--
白银	9月	23℃	12℃	27mm	--	--
白银	10月	17℃	5℃	15mm	--	--
白银	11月	10℃	-2℃	1mm	--	--
白银	12月	3℃	-8℃	1mm	--	--
百色	1月	18℃	10℃	19mm	33℃(1969)	33℃(1969)
百色	2月	20℃	12℃	21mm	38℃(1973)	38℃(1973)
百色	3月	25℃	15℃	33mm	39℃(1987)	39℃(1987)
百色	4月	29℃	20℃	62mm	43℃(1958)	43℃(1958)
百色	5月	32℃	23℃	157mm	42℃(1958)	42℃(1958)
百色	6月	33℃	24℃	196mm	41℃(1958)	41℃(1958)
百色	7月	34℃	25℃	190mm	40℃(1988)	40℃(1988)
百色	8月	33℃	24℃	185mm	40℃(1981)	40℃(1981)
百色	9月	32℃	22℃	108mm	40℃(1990)	40℃(1990)
百色	10月	29℃	19℃	73mm	37℃(1966)	37℃(1966)
百色	11月	24℃	15℃	36mm	34℃(1953)	34℃(1953)
百色	12月	20℃	11℃	15mm	33℃(1998)	33℃(1998)
拜城	1月	-5℃	-18℃	4mm	6℃(1965)	6℃(1965)
拜城	2月	1℃	-12℃	4mm	13℃(2001)	13℃(2001)
拜城	3月	12℃	-2℃	7mm	25℃(1964)	25℃(1964)
拜城	4月	20℃	5℃	8mm	33℃(1988)	33℃(1988)
拜城	5月	25℃	10℃	14mm	34℃(1982)	34℃(1982)
拜城	6月	29℃	12℃	18mm	37℃(1966)	37℃(1966)
拜城	7月	30℃	14℃	19mm	38℃(2000)	38℃(2000)
拜城	8月	30℃	13℃	17mm	38℃(1983)	38℃(1983)
拜城	9月	25℃	9℃	12mm	34℃(1998)	34℃(1998)
拜城	10月	18℃	1℃	8mm	28℃(2002)	28℃(2002)
拜城	11月	7℃	-5℃	3mm	18℃(1979)	18℃(1979)
拜城	12月	-2℃	-14℃	3mm	7℃(1989)	7℃(1989)
班戈	1月	-4℃	-18℃	2mm	8℃(2007)	8℃(2007)
班戈	2月	-3℃	-16℃	2mm	10℃(1972)	10℃(1972)
班戈	3月	1℃	-12℃	2mm	14℃(1999)	14℃(1999)
班戈	4月	5℃	-7℃	5mm	14℃(1999)	14℃(1999)
班戈	5月	10℃	-3℃	19mm	20℃(1960)	20℃(1960)
班戈	6月	14℃	2℃	52mm	23℃(1998)	23℃(1998)
班戈	7月	15℃	4℃	82mm	23℃(1959)	23℃(1959)
班戈	8月	14℃	3℃	83mm	20℃(1957)	20℃(1957)
班戈	9月	12℃	1℃	52mm	18℃(1960)	18℃(1960)
班戈	10月	6℃	-6℃	11mm	16℃(2007)	16℃(2007)
班戈	11月	0℃	-13℃	2mm	12℃(1981)	12℃(1981)
班戈	12月	-3℃	-17℃	2mm	10℃(1987)	10℃(1987)
班玛	1月	3℃	-16℃	5mm	16℃(2006)	16℃(2006)
班玛	2月	5℃	-12℃	9mm	17℃(1991)	17℃(1991)
班玛	3月	8℃	-7℃	17mm	19℃(1966)	19℃(1966)
班玛	4月	12℃	-3℃	30mm	24℃(1966)	24℃(1966)
